Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
,,,,,,,,654,14940,4268,2038
,,,,,,,,655,15978,4564,2178
,,,,,,,,656,17086,4878,2330
,,,,,,,,657,18258,5214,2490
,,,,,,,,658,19008,5430,2592
,,,,,,,,659,19342,5524,2636
,,,,,,,,660,19156,5470,2612
,,,,,,,,661,18794,5368,2562
,,,,,,,,662,18304,5228,2494
,,,,,,,,663,18004,5142,2454
,,,,,,,,664,18010,5144,2454
,,,,,,,,665,18870,5388,2574
,,,,,,,,666,20682,5906,2820
,,,,,,,,667,20832,5950,2840
,,,,,,,,668,20224,5776,2756
,,,,,,,,669,19604,5600,2674
,,,,,,,,670,18662,5330,2544
,,,,,,,,671,17460,4986,2380
,,,,,,,,672,16176,4620,2206
,,,,,,,,673,15134,4322,2062
,,,,,,,,674,14508,4144,1978
,,,,,,,,675,14176,4048,1932
,,,,,,,,676,14068,4016,1918
,,,,,,,,677,14202,4056,1936
,,,,,,,,678,14624,4178,1994
,,,,,,,,679,15398,4398,2100
,,,,,,,,680,16180,4620,2206
,,,,,,,,681,17346,4954,2364
,,,,,,,,682,18138,5180,2472
,,,,,,,,683,18570,5304,2532
,,,,,,,,684,18722,5348,2552
,,,,,,,,685,18664,5330,2544
,,,,,,,,686,18474,5276,2518
,,,,,,,,687,18274,5220,2492
,,,,,,,,688,18354,5242,2502
,,,,,,,,689,19412,5544,2646
,,,,,,,,690,21564,6158,2940
,,,,,,,,691,21900,6254,2986
,,,,,,,,692,21382,6106,2916
,,,,,,,,693,20576,5876,2806
,,,,,,,,694,19276,5506,2628
,,,,,,,,695,17698,5054,2412
,,,,,,,,696,16230,4636,2212
,,,,,,,,697,15238,4352,2078
,,,,,,,,698,14748,4212,2010
,,,,,,,,699,14556,4158,1984
,,,,,,,,700,14614,4174,1992
,,,,,,,,701,15142,4324,2064
,,,,,,,,702,16636,4750,2268
,,,,,,,,703,19452,5556,2652
,,,,,,,,704,20962,5986,2856
,,,,,,,,705,21160,6042,2886
,,,,,,,,706,21340,6094,2908
,,,,,,,,707,21322,6090,2908
,,,,,,,,708,21230,6062,2894
,,,,,,,,709,21064,6016,2872
